s,v,o,label
Quảng cáo,giới thiệu,thuốc thay đổi giới tính chưa kiểm chứng,1
Video,sử dụng,âm thanh chuông báo cháy lặp lại gây khó chịu,1
Video,ghi hình,cận mặt một người đang nôn ra máu,1
Quảng cáo,giới thiệu,dịch vụ mua bán nội tạng,1
Video,mô phỏng,một vụ tai nạn máy bay gây thương vong lớn,1
Video,ghi hình,người mẫu mặc đồ lót trẻ em tạo dáng khiêu dâm,1
Quảng cáo,giới thiệu,máy dò kim loại tìm vàng giả mạo,1
Hình ảnh,hiển thị,một người bóp cổ người khác,1
Video,sử dụng,hình ảnh súng đạn thật để đe dọa người xem,1
Quảng cáo,giới thiệu,ứng dụng hack tài khoản ngân hàng,1
Video,ghi hình,một người hút thuốc trong phòng kín,1
Video,làm giả,thông báo hệ thống để lừa người xem,1
Quảng cáo,giới thiệu,chất lỏng giúp mọc tóc chỉ sau một đêm,1
Cận cảnh,hiển thị,một người bóp nát con vật nhỏ,1
Video,sử dụng,hình ảnh bệnh nhân ung thư giai đoạn cuối để bán hàng,1
Quảng cáo,giới thiệu,dịch vụ xâm nhập mạng Wi-Fi người khác,1
Video,ghi hình,người mẫu cố tình hở rốn và vùng bụng dưới,1
Video,mô phỏng,một cuộc truy đuổi cảnh sát bạo lực,1
Quảng cáo,giới thiệu,bài thuốc bí truyền chữa vô sinh,1
Cận cảnh,hiển thị,một người tự đâm vào tay,1
Video,sử dụng,hình ảnh bạo lực gia đình,1
Quảng cáo,giới thiệu,viên uống giúp trẻ cao phi thường,1
Video,ghi hình,người bóc lột sức lao động của người già,1
Cận cảnh,hiển thị,một drone đang sạc pin,0
Người mẫu,đeo,kính áp tròng,0
Video,ghi hình,một người thử nghiệm pin năng lượng mặt trời,0
Người dùng,đặt,phòng khách sạn qua ứng dụng du lịch,0
Cận cảnh,hiển thị,một máy ảnh lấy liền,0
Cô gái,gọt,vỏ trái cây nhiệt đới,0
Video,ghi hình,một người kiểm tra bảng mạch điện tử,0
Người đàn ông,dùng,máy đo huyết áp tại nhà,0
Cận cảnh,hiển thị,hộp đựng trang sức,0
Người mẫu,đội,mũ len beanie,0
Video,ghi lại,một người tô màu trên gốm sứ,0
Cận cảnh,hiển thị,máy ép tóc duỗi tóc,0
Người dùng,thiết lập,chế độ Không làm phiền,0
Video,ghi hình,một người đạp xe leo núi,0
Cô gái,trộn,bột làm bánh pancake,0
Cận cảnh,hiển thị,bút máy fountain pen,0
Người đàn ông,lắp,đèn chiếu sáng ngoài trời,0
Video,ghi hình,một người tham gia lớp học nấu ăn,0
Cận cảnh,hiển thị,khóa cửa điện tử smart lock,0
Người mẫu,tạo dáng,với áo sơ mi denim,0
Video,ghi lại,một người chơi ném phi tiêu darts,0
Cận cảnh,hiển thị,đồng hồ cơ automatic watch,0
Người dùng,thay,nhạc chuông điện thoại,0
Video,ghi lại,một người chơi cầu lông,0
Cô gái,làm,sữa chua tại nhà,0
Cận cảnh,hiển thị,máy bay mô hình đang bay,0
Người đàn ông,kiểm tra,chất lượng nước bằng thiết bị,0
Video,ghi hình,một người nhảy zumba,0
Cận cảnh,hiển thị,ống nhòm,0
Người mẫu,mặc,áo khoác da,0
Video,ghi hình,một người học làm vườn trên sân thượng,0
Cận cảnh,hiển thị,máy chiếu hình ảnh,0
Người dùng,sử dụng,ứng dụng học thi bằng lái xe,0
Video,ghi hình,một người chơi khúc côn cầu trên băng,0
Cô gái,chuẩn bị,nước ép rau củ,0
Cận cảnh,hiển thị,máy tính bảng đặt trên giá đỡ,0
Người đàn ông,vẽ,tranh tường mural,0
Video,ghi hình,một người nâng tạ nặng,0
Cận cảnh,hiển thị,đèn pin siêu sáng,0
Người mẫu,tạo dáng,với ô tô cổ,0
Video,ghi hình,một người tham gia tiệc ngoài trời,0
Quảng cáo,giới thiệu,dịch vụ xóa sạch dấu vết trực tuyến,1
Video quảng cáo game,hiển thị,cảnh cướp bóc cửa hàng bạo lực,1
Quảng cáo,sử dụng,hình ảnh giả người bị thương để quảng cáo thuốc,1
Video,ghi hình,một người bị xịt hơi cay vào mặt,1
Quảng cáo,giới thiệu,ứng dụng kiểm tra đồ thật giả,1
Video,lồng tiếng,tục tĩu vào quảng cáo,1
Video,ghi hình,cận cảnh người cố nhổ răng,1
Quảng cáo,giới thiệu,dịch vụ mua bằng tốt nghiệp,1
Video,mô phỏng,một vụ tử hình hoặc treo cổ,1
Quảng cáo,giới thiệu,thuốc giúp tóc đen lại sau một lần uống,1
Hình ảnh,hiển thị,một người tự rạch tay,1
Video,sử dụng,hình ảnh phân biệt chủng tộc,1
Quảng cáo,giới thiệu,ứng dụng cá cược cho trẻ vị thành niên,1
Video,ghi hình,người bị trói chân tay,1
Video,làm giả,thông báo tin nhắn để lừa người xem,1
Quảng cáo,giới thiệu,chất tẩy rửa làm sạch vết máu,1
Cận cảnh,hiển thị,một người cắn móng tay chảy máu,1
Video,sử dụng,hình ảnh phòng cấp cứu để quảng cáo,1
Quảng cáo,giới thiệu,dịch vụ xâm nhập máy tính người khác,1
Video,ghi hình,người mẫu cố tình hở eo và ngực,1
Quảng cáo,giới thiệu,thảo dược chữa HIV/AIDS,1
Cận cảnh,hiển thị,một người tiêm thuốc vào tĩnh mạch,1
Video,sử dụng,hình ảnh bạo lực với người già,1
Quảng cáo,giới thiệu,ứng dụng tàng hình tránh bị theo dõi,1
Cận cảnh,hiển thị,một người quét thẻ lên thiết bị đọc,0
Người mẫu,tạo dáng,với bó hoa tươi,0
Video,ghi hình,một người dùng máy tính bảng để học vẽ,0
Người dùng,đóng gói,hộp quà,0
Cận cảnh,hiển thị,ấm đun nước siêu tốc,0
Cô gái,chăm sóc,cây cảnh trong nhà,0
Video,ghi hình,một người thử nghiệm xe ô tô tự lái,0
Người đàn ông,hàn,kim loại bằng máy hàn,0
Cận cảnh,hiển thị,máy ảnh film analog,0
Người mẫu,đeo,tai nghe over-ear,0
Video,ghi hình,một người chơi trò xếp khối Jenga,0
Cận cảnh,hiển thị,cốc sứ với họa tiết,0
Người dùng,kiểm tra,chất lượng không khí bằng máy đo,0
Video,ghi hình,một người nhảy hip-hop,0
Cô gái,nướng,bánh quy trong lò,0
Cận cảnh,hiển thị,một người dùng máy ép trái cây thủ công,0
Người đàn ông,thử,đồ bơi swimsuit,0
Video,ghi hình,một người tập thể dục với dây đàn hồi,0
Cận cảnh,hiển thị,loa thông minh,0
Người mẫu,tạo dáng,với mũ rộng vành,0
Video,ghi hình,một người tham gia họp nhóm ảo,0
Cận cảnh,hiển thị,một người gõ cửa,0
Người dùng,kiểm tra,tin tức trên ứng dụng báo chí,0
Video,ghi hình,một người chơi điện tử cầm tay,0
Cô gái,sắp xếp,kệ sách theo màu sắc,0
Cận cảnh,hiển thị,quạt điện thông minh,0
Người đàn ông,thử,áo phông in hình,0
Video,ghi hình,một người học nhảy salsa,0
Cận cảnh,hiển thị,một người dùng máy khuếch tán tinh dầu,0
Người mẫu,mặc,áo len cổ lọ,0
Video,ghi hình,một người học tạo podcast,0
Cận cảnh,hiển thị,máy chiếu phim mini,0
Người dùng,kiểm tra,lịch giao hàng trên ứng dụng,0
Video,ghi hình,một người chơi bowling,0
Cô gái,thử,đầm dạ hội,0
Cận cảnh,hiển thị,một người dùng máy rửa mặt điện,0
Người đàn ông,lắp ráp,bàn gỗ,0
Video,ghi hình,một người chạy trên máy chạy bộ,0
Cận cảnh,hiển thị,máy hút ẩm,0
Người mẫu,tạo dáng,với khăn choàng cổ,0
Video,ghi hình,một người học viết thư pháp,0
Quảng cáo,giới thiệu,dịch vụ xóa hồ sơ tội phạm,1
Video quảng cáo game,hiển thị,nhân vật nữ bị lột xác gợi dục,1
Quảng cáo,sử dụng,hình ảnh cảnh báo virus giả để lừa cài app,1
Video,ghi hình,một người bị vật nhọn đâm vào tay,1
Quảng cáo,giới thiệu,thuốc giúp cơ bắp phát triển sau 1 tuần,1
Video,lồng ghép,tiếng la hét trẻ con gây khó chịu,1
Quảng cáo,giới thiệu,dịch vụ giải mã bí ẩn cái chết,1
Video,mô phỏng,một vụ khủng bố nơi công cộng,1
Video,ghi hình,người mẫu mặc đồ lót quá hở hang,1
Quảng cáo,giới thiệu,thiết bị giúp nhìn thấy ma giả mạo,1
Video,sử dụng,hình ảnh phân biệt đối xử với người khuyết tật,1
Quảng cáo,giới thiệu,ứng dụng bói toán yêu cầu thông tin cá nhân,1
Video,ghi hình,một người bị tát vào mặt,1
Video,làm giả,giao diện ngân hàng để lừa đăng nhập,1
Quảng cáo,giới thiệu,dược phẩm giúp ngủ 1 phút là đủ,1
Cận cảnh,hiển thị,một người nhai kẹo cao su tạo tiếng động lớn,1
Video,sử dụng,hình ảnh phòng khám phá thai để quảng bá,1
Quảng cáo,giới thiệu,dịch vụ tăng điểm thi cử,1
Video,ghi hình,người mẫu cố tình tập trung vào xương quai xanh gợi cảm,1
Video,mô phỏng,một cuộc chiến đẫm máu thời trung cổ,1
Quảng cáo,giới thiệu,chất bổ sung tăng hormone không kiểm chứng,1
Cận cảnh,hiển thị,một người đang cắt móng chân quá sát,1
Video,sử dụng,hình ảnh bạo lực với cộng đồng thiểu số,1
Quảng cáo,giới thiệu,ứng dụng cho vay nóng với lãi suất cắt cổ,1
Cận cảnh,hiển thị,một người đang dùng máy in màu,0
Người mẫu,đeo,găng tay khi lái xe mô tô,0
Video,ghi hình,một người dùng máy scan 3D,0
Người dùng,đặt,vé xem phim trực tuyến,0
Cận cảnh,hiển thị,chiếc đồng hồ điện tử đa chức năng,0
Cô gái,nướng,thịt ngoài trời BBQ,0
Video,ghi hình,một người kiểm tra áp suất nước bằng đồng hồ đo,0
Người đàn ông,xem,bản đồ để theo dõi giao thông,0
Cận cảnh,hiển thị,một chiếc máy ảnh dưới nước,0
Người mẫu,tạo dáng,với một chiếc ô tô điện,0
Video,ghi hình,một người học chơi trống drum set,0
Cận cảnh,hiển thị,chiếc cốc giữ nhiệt tumbler,0
Người dùng,thiết lập,tài khoản ngân hàng số,0
Video,ghi hình,một người chơi bóng rổ,0
Cô gái,thử,chiếc váy cưới,0
Cận cảnh,hiển thị,một người dùng máy rửa xe áp lực cao,0
Người đàn ông,kiểm tra,chất lượng sữa tươi,0
Video,ghi lại,một người tham gia lớp học làm đồ da thủ công,0
Cận cảnh,hiển thị,máy lọc nước gia đình,0
Người mẫu,tạo dáng,với khăn quàng cổ lụa,0
Video,ghi hình,một người lắp đặt máy lạnh,0
Cận cảnh,hiển thị,bàn phím không dây,0
Người dùng,thay đổi,cài đặt bảo mật trên điện thoại,0
Video,ghi lại,một người chạy trên đường ray xe lửa cũ,0
Cô gái,làm,món tráng miệng dessert,0
Cận cảnh,hiển thị,một người dùng máy hút bụi cầm tay,0
Người đàn ông,thử,đôi giày da,0
Video,ghi hình,một người tham gia buổi nhảy flashmob,0
Cận cảnh,hiển thị,máy chơi game console,0
Người mẫu,tạo dáng,với túi đeo chéo crossbody bag,0
Video,ghi lại,một người học làm đồ handmade bằng giấy,0
Cận cảnh,hiển thị,máy pha trà tự động,0
Người dùng,kiểm tra,chất lượng đất trồng cây,0
Video,ghi hình,một người chèo thuyền buồm,0
Cô gái,thử,áo jacket denim,0
Cận cảnh,hiển thị,máy ép dầu thực vật,0
Người đàn ông,sơn,lại tường rào,0
Video,ghi hình,một người chơi bóng chuyền bãi biển,0
Cận cảnh,hiển thị,điện thoại di động màu vàng đồng,0
Người mẫu,tạo dáng,với mũ rộng vành che nắng,0
Video,ghi hình,một người học lập trình cơ bản,0
Quảng cáo,giới thiệu,dịch vụ xóa nợ thẻ tín dụng,1
Video quảng cáo game,hiển thị,nhân vật khỏa thân pixelated,1
Video,sử dụng,hình ảnh người bị đánh bất tỉnh giả mạo,1
Quảng cáo,giới thiệu,kem chữa vảy nến lập tức,1
Video,làm giả,giao diện ngân hàng nước ngoài,1
Video,ghi hình,cận cảnh người cắn móng tay chảy máu và nhổ nước bọt,1
Quảng cáo,giới thiệu,dịch vụ giải cứu người bị lừa đảo tài chính,1
Video,mô phỏng,một vụ bắt cóc đòi tiền chuộc,1
Video,ghi hình,người mẫu mặc đồ lót tập trung vùng kín,1
Quảng cáo,giới thiệu,bài tập giúp mọc tóc hói sau 1 đêm,1
Hình ảnh,hiển thị,một người dùng dao cắt vào da thịt,1
Video,sử dụng,hình ảnh phân biệt đối xử với người châu Á,1
Quảng cáo,giới thiệu,ứng dụng xem bói yêu cầu tài khoản ngân hàng,1
Video,làm giả,thông báo Khẩn cấp để lừa người xem,1
Quảng cáo,giới thiệu,thực phẩm chức năng tăng chiều cao,1
Cận cảnh,hiển thị,một người nhai thức ăn gây tiếng động lớn,1
Video,sử dụng,hình ảnh bạo lực trẻ em,1
Quảng cáo,giới thiệu,dịch vụ sao chép thẻ ATM,1
Video,ghi hình,người mẫu cố tình hở eo và vùng sườn,1
Quảng cáo,giới thiệu,chất lỏng làm trắng da toàn thân,1
Cận cảnh,hiển thị,một người tiêm thuốc vào mắt,1
Video,sử dụng,hình ảnh bạo lực với người già,1
Quảng cáo,giới thiệu,ứng dụng thay đổi giới tính bằng AI,1
Cận cảnh,hiển thị,máy ảnh quay video 360 độ,0
Người mẫu,dùng,son dưỡng môi,0
Video,ghi hình,một người thử xe máy phân khối lớn,0
Người dùng,đặt,bàn tại nhà hàng qua ứng dụng,0
Cận cảnh,hiển thị,máy xay thịt,0
Cô gái,rửa,tay bằng nước sát khuẩn,0
Video,ghi hình,một người dùng máy đo laser khoảng cách,0
Người đàn ông,theo dõi,chuyến bay bằng ứng dụng,0
Cận cảnh,hiển thị,kính thực tế ảo VR headset,0
Người mẫu,tạo dáng,với áo khoác phao dày,0
Video,ghi hình,một người học làm đồ gốm,0
Cận cảnh,hiển thị,ấm trà bằng gốm,0
Người dùng,kiểm tra,chất lượng không khí trong nhà,0
Video,ghi lại,một người tập thể dục với bóng yoga,0
Cô gái,trộn,bột làm bánh mì nướng,0
Cận cảnh,hiển thị,máy ép tỏi,0
Người đàn ông,lắp,đặt lưới chống côn trùng,0
Video,ghi hình,một người học vẽ manga,0
Cận cảnh,hiển thị,máy hủy giấy,0
Người mẫu,tạo dáng,với ba lô laptop,0
Video,ghi lại,một người tham gia lớp học làm rượu vang,0
Cận cảnh,hiển thị,đèn đọc sách kẹp bàn,0
Người dùng,thiết lập,tài khoản xác thực đa yếu tố,0
Video,ghi hình,một người chơi bóng bầu dục,0
Cô gái,làm,món kem tự làm homemade ice cream,0
Cận cảnh,hiển thị,máy sưởi điện,0
Người đàn ông,đội,mũ bảo hộ lao động,0
Video,ghi hình,một người tham gia lớp học nấu món Thái,0
Cận cảnh,hiển thị,micro thu âm chuyên nghiệp,0
Người mẫu,tạo dáng,với áo hoodie,0
Video,ghi hình,một người học chơi cờ vây Go,0
Cận cảnh,hiển thị,máy chiếu ánh sáng trang trí,0
Người dùng,kiểm tra,độ ẩm trong nhà,0
Video,ghi hình,một người lướt ván buồm windsurfing,0
Cô gái,thử,áo crop-top kín đáo,0
Cận cảnh,hiển thị,một người đang dùng máy làm sữa hạt,0
Người đàn ông,gắn,camera hành trình lên xe,0
Video,ghi hình,một người tập thái cực quyền,0
Cận cảnh,hiển thị,chiếc gương trang điểm có đèn LED,0
Người mẫu,tạo dáng,với một chiếc khăn tắm biển,0
