s,v,o,label
Một cậu thanh niên,nhấp,mojito không cồn trong buổi picnic,0
Anh nhân viên,say,nước ép dưa hấu khi xem bóng đá,0
Chàng trai,quảng cáo,trà sữa khi đi dã ngoại,0
Người bị tát mạnh,làm,ngã,1
Cô gái,mở,tequila có logo trong khi leo núi,1
Người đàn ông,cụng,bia lon ở quán cà phê,0
Thanh niên,ăn,rượu mạnh khi điều khiển thuyền,1
Một người,nói,“phần mềm này có thể hack mọi tài khoản mạng xã hội”,1
Cô nhân viên,đưa,bia lon trong buổi picnic,0
Nhóm bạn,nhìn,tequila có logo trong khi leo núi,1
Video,ghi hình,một người chơi bóng ném,0
Người phụ nữ,rót,nước ép dưa hấu trong công viên,0
Đôi bạn trẻ,rót,bia không logo trong buổi picnic,0
Một người,nói,viên kẹo này giúp giảm 10kg trong 2 ngày,1
Cặp đôi,ăn,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Một cậu thanh niên,mở,vodka trong video quảng bá trong clip quảng cáo,1
Cô nhân viên,cụng,tequila có logo trong lúc lái ô tô,1
Một nhóm thanh niên,giơ,rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Cô nhân viên,nâng,nước ngọt khi đi dã ngoại,0
Bạn nữ,say,rum thương hiệu ABC trong khi leo núi,1
Máy đếm tiền,có,chức năng kiểm tra tiền bị ướt,0
Người mẹ,đọc,truyện cho con nghe trước khi ngủ,0
Nam sinh,viết,ghi chú trong lớp học ánh sáng trắng phản chiếu trên bàn,0
Một người đàn ông,rót,bia không logo trong công viên,0
Người đàn ông,nâng,nước táo khi đi dã ngoại,0
Đôi bạn trẻ,quảng cáo,tequila có logo trong khi leo núi,1
Chàng trai,nâng,bia không logo trong buổi tiệc gia đình,0
Nhóm bạn,cầm,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Cô nhân viên,đưa,mojito không cồn trong phòng khách,0
Anh nhân viên,quảng cáo,bia không logo bên bãi biển,0
Ba người bạn,nhấp,trà sữa trong buổi picnic,0
Cặp đôi,đưa,nước ép cam trong công viên,0
Thanh niên,mở,trà sữa khi đi dã ngoại,0
Một người đàn ông,rót,tequila có logo trong clip quảng cáo,1
Ba người bạn,nâng,bia lon khi xem bóng đá,0
Chàng trai,đưa,rượu whisky có thương hiệu khi điều khiển thuyền,1
Người đàn ông,giơ,rượu whisky có thương hiệu trong clip quảng cáo,1
Đôi bạn trẻ,cụng,trà sữa trong buổi tiệc gia đình,0
Thanh niên,quảng cáo,tequila có logo trong clip quảng cáo,1
Nhóm bạn,cụng,vodka có logo trước biển hiệu quảng cáo,1
Cô gái,quảng cáo,bia không logo khi xem bóng đá,0
Cô nhân viên,quảng cáo,nước lọc khi xem bóng đá,0
Người phụ nữ,nhấp,nước táo trước rạp chiếu phim,0
Nhóm sinh viên,cầm,nước ép cam bên bãi biển,0
Cô gái,khóc,trên giường trong bóng tối,1
Thanh niên,mở,nước ép dưa hấu bên bãi biển,0
Người phụ nữ,nâng,rum thương hiệu ABC trong khi leo núi,1
Người,chỉ tay,vào dòng “rút tiền tự động”,1
Người đàn ông,nhìn,nước ép dưa hấu khi xem bóng đá,0
Chàng trai,đưa,nước khoáng trước rạp chiếu phim,0
Một cậu thanh niên,quảng cáo,nước chanh trong buổi picnic,0
Anh nhân viên,say,nước chanh ở quán cà phê,0
Người,giơ,điện thoại hiển thị “lợi nhuận nhân đôi”,1
Video,ghi lại,một vụ cướp giả vờ gây hoang mang,1
Quảng cáo,nói,chỉ cần uống một lần là da trắng mịn,1
Một người,đang bày,bánh lên đĩa,0
Cặp đôi,giơ,vodka trong video quảng bá trong lúc lái ô tô,1
Nhóm sinh viên,mở,tequila có logo trên livestream quảng bá,1
Người phụ nữ,ăn,nước chanh khi đi dã ngoại,0
Anh chàng,cụng,rượu whisky có thương hiệu trong clip quảng cáo,1
Chàng trai,uống,nước ép dưa hấu trước rạp chiếu phim,0
Cặp đôi,say,trà sữa trước rạp chiếu phim,0
Một người,nói,thuốc nhỏ này giúp nhìn thấy trong bóng tối,1
Nhóm bạn trẻ,mở,bia không logo bên bãi biển,0
Người đàn ông,cụng,bia không logo bên bãi biển,0
Nhóm bạn trẻ,rót,vodka có logo trong lúc lái ô tô,1
Nhóm sinh viên,uống,nước chanh khi đi dã ngoại,0
Một cậu thanh niên,say,tequila có logo trong quán bar với poster thương hiệu,1
Đôi bạn trẻ,mở,bia lon trong buổi tiệc gia đình,0
Một người đàn ông,cụng,trà sữa trong buổi tiệc gia đình,0
Chàng trai,cụng,nước chanh khi xem bóng đá,0
Một nhóm thanh niên,giơ,vodka có logo trên livestream quảng bá,1
Anh nhân viên,mở,nước chanh trong phòng khách,0
Đôi bạn trẻ,mở,mojito không cồn trong buổi picnic,0
Nhóm bạn trẻ,uống,nước táo trong buổi picnic,0
Chàng trai,mở,cà phê bên bãi biển,0
Nhóm bạn,cầm,tequila có logo trong quán bar với poster thương hiệu,1
Video,mô phỏng,một vụ tấn công khủng bố bằng xe hơi,1
Video,ghi hình,một người tập thái cực quyền,0
Một người đàn ông,nhìn,bourbon thương hiệu lớn trong lúc lái ô tô,1
Người,bị phun,máu ra từ cổ,1
Cô nhân viên,nâng,nước ép cam ở quán cà phê,0
Một người,nói,nước này giúp da trắng chỉ sau một đêm,1
Anh nhân viên,giơ,bia không logo ở quán cà phê,0
Một người,nói,thuốc này giúp đổi màu da tự nhiên mà không gây tác dụng phụ,1
Nhóm bạn,nâng,bourbon thương hiệu lớn trong khi leo núi,1
Một người đàn ông,quảng cáo,rum thương hiệu ABC trên livestream quảng bá,1
Anh nhân viên,ăn,rượu whisky có thương hiệu trong clip quảng cáo,1
Người đàn ông cười,nói,khi xem tivi,0
Nhóm sinh viên,nâng,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Video,mô phỏng,một cuộc ẩu đả trong khu phố,1
Một nhóm thanh niên,nâng,nước ngọt trong công viên,0
Người,bị va,chạm khi đấu võ,1
Người cha,đi,làm buổi sáng,0
Anh nhân viên,mở,nước ép cam trong công viên,0
Một người đàn ông,uống,bia không logo khi đi dã ngoại,0
Người phụ nữ,quảng cáo,cà phê trong công viên,0
Nhóm sinh viên,nhìn,cà phê trong buổi tiệc gia đình,0
Ba người bạn,ăn,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Một cậu thanh niên,mở,nước ép dưa hấu trong buổi picnic,0
Đôi bạn trẻ,say,cà phê trong buổi picnic,0
Người đàn ông,giơ,rum thương hiệu ABC khi điều khiển thuyền,1
Video,hướng dẫn,trốn nợ hoặc gian lận tài chính,1
Người phụ nữ,nhìn,nước táo bên bãi biển,0
Người đàn ông,ngồi,đọc báo,0
Một nhóm thanh niên,giơ,nước chanh trong buổi picnic,0
Hình ảnh,hiển thị,một người tự làm hại bản thân,1
Nhóm bạn trẻ,mở,bia lon khi đi dã ngoại,0
Anh chàng,mở,rượu vang đỏ trước poster thương hiệu trong khi leo núi,1
Một cậu thanh niên,uống,bia lon trong công viên,0
Ba người bạn,quảng cáo,vodka trong video quảng bá khi điều khiển thuyền,1
Nhóm sinh viên,nhấp,trà sữa bên bãi biển,0
Cô gái,say,vodka trong video quảng bá trong khi leo núi,1
Một người,nói,thuốc này được bác sĩ Nhật chứng nhận sai,1
Nhóm bạn,nhìn,tequila có logo trên livestream quảng bá,1
Đôi bạn trẻ,cụng,bia không logo khi xem bóng đá,0
Nhóm sinh viên,rót,cà phê trong buổi tiệc gia đình,0
Nhóm sinh viên,say,nước khoáng bên bãi biển,0
Cô nhân viên,uống,nước chanh ở quán cà phê,0
Người mẫu,khoe,vai trần khi nằm nghiêng,1
Nhóm bạn trẻ,cụng,nước ép dưa hấu trước rạp chiếu phim,0
Anh chàng,nâng,bia lon trước rạp chiếu phim,0
Một cậu thanh niên,nâng,nước chanh khi đi dã ngoại,0
Người đàn ông,rót,bia lon trong buổi picnic,0
Anh nhân viên,giơ,nước chanh bên bãi biển,0
Thanh niên,rót,nước táo khi đi dã ngoại,0
Ánh sáng trắng,từ cửa sổ,hắt vào,0
Người đàn ông,uống,nước ngọt bên bãi biển,0
Một cậu thanh niên,giơ,nước ngọt trong buổi tiệc gia đình,0
Cô gái,đưa,rượu vang đỏ trước poster thương hiệu trên livestream quảng bá,1
Một nhóm thanh niên,rót,nước ép cam bên bãi biển,0
Một nhóm thanh niên,say,bia không logo trong buổi picnic,0
Nhóm sinh viên,mở,nước ngọt trong buổi picnic,0
Chàng trai,ăn,bourbon thương hiệu lớn trong lúc lái ô tô,1
Ba người bạn,đưa,nước ép dưa hấu khi đi dã ngoại,0
Người dẫn chuyện,khẳng định,đặt tượng thần tài này trong nhà là giàu lên ngay,1
Nhóm bạn,nâng,nước lọc trong phòng khách,0
Cô gái,mở,vodka trong video quảng bá khi điều khiển thuyền,1
Người,bị đổ,xăng lên tay,1
Cô gái,trang điểm,nhẹ nhàng,0
Cô gái,uống,nước lọc ở quán cà phê,0
Nhóm bạn,nhìn,nước khoáng trong phòng khách,0
Nhóm bạn,quảng cáo,rum thương hiệu ABC trong khi leo núi,1
Người phụ nữ,mua,trái cây tươi ở chợ sáng,0
Cặp đôi,giơ,nước chanh trước rạp chiếu phim,0
Chàng trai,quảng cáo,vodka có logo khi điều khiển thuyền,1
Nhóm sinh viên,uống,nước khoáng trước rạp chiếu phim,0
Nhóm bạn,cầm,vodka trong video quảng bá trong clip quảng cáo,1
Thanh niên,cầm,bia nhẹ trong công viên,0
Cô gái,đang chụp,màn hình bài học,0
Thanh niên,nhìn,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Người đàn ông,ăn,nước ép dưa hấu trong buổi picnic,0
Anh chàng,uống,nước ép cam trong công viên,0
Ba người bạn,quảng cáo,bia lon trong buổi tiệc gia đình,0
Anh nhân viên,rót,rượu gin có thương hiệu trong clip quảng cáo,1
Người đàn ông,say,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Một cậu thanh niên,say,rượu mạnh trong khi leo núi,1
Nhóm bạn trẻ,uống,tequila có logo trong quán bar với poster thương hiệu,1
Một nhóm thanh niên,nhìn,rum thương hiệu ABC trong khi leo núi,1
Một cậu thanh niên,cầm,vodka có logo trên livestream quảng bá,1
Đôi bạn trẻ,rót,nước khoáng trước rạp chiếu phim,0
Đôi bạn trẻ,rót,vodka có logo trong clip quảng cáo,1
Cô gái,thử,váy hoa nhí màu pastel trước gương,0
Cặp đôi,say,nước lọc trong công viên,0
Một nhóm thanh niên,say,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Anh chàng,ăn,nước ép dưa hấu trong buổi picnic,0
Người đàn ông,say,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Người lái xe,mở,cửa ô tô mới và nhìn vào camera đầy tự hào,0
Ba người bạn,cụng,bia lon khi đi dã ngoại,0
Chàng trai,nhấp,rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Nhóm bạn,cầm,mojito không cồn ở quán cà phê,0
Nhóm bạn trẻ,giơ,nước ép cam khi xem bóng đá,0
Ba người bạn,say,nước chanh bên bãi biển,0
Cảnh quay,thể hiện,mở nắp bia và bọt trào ra trên bàn,0
Thanh niên,uống,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Chàng trai,rót,cà phê trong phòng khách,0
Một nhóm thanh niên,đưa,tequila có logo trước biển hiệu quảng cáo,1
Người phụ nữ,cầm,vodka có logo trên livestream quảng bá,1
Một người đàn ông,nhìn,bia không logo trong công viên,0
Anh nhân viên,cụng,nước ép cam trong buổi tiệc gia đình,0
Một cậu thanh niên,đưa,cà phê bên bãi biển,0
Bạn nữ,nhấp,nước ngọt trong buổi picnic,0
Người đàn ông,say,nước ép cam bên bãi biển,0
Người phụ nữ,mở,mojito không cồn trong công viên,0
Anh nhân viên,nhấp,nước ép dưa hấu khi đi dã ngoại,0
Đôi bạn trẻ,rót,nước ép cam ở quán cà phê,0
Người đàn ông,gắn,hệ thống giám sát hành trình xe,0
Một người đàn ông,giơ,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Một cậu thanh niên,ăn,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Chàng trai,đưa,nước lọc ở quán cà phê,0
Đôi bạn trẻ,nhìn,bia lon trước rạp chiếu phim,0
Anh nhân viên,mở,nước ép cam khi xem bóng đá,0
Một con mèo,nhìn,qua cửa sổ,0
Anh nhân viên,quảng cáo,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Ba người bạn,cụng,bia nhẹ trong công viên,0
Cặp đôi,uống,nước lọc ở quán cà phê,0
Nhóm bạn,say,nước ngọt khi đi dã ngoại,0
Một người đàn ông,ăn,nước táo trước rạp chiếu phim,0
Cặp đôi,say,rum thương hiệu ABC trên livestream quảng bá,1
Bạn nữ,giơ,tequila có logo trong quán bar với poster thương hiệu,1
Một người đàn ông,ăn,trà sữa khi đi dã ngoại,0
Thanh niên,quảng cáo,nước chanh trong công viên,0
Thanh niên,nâng,trà sữa bên bãi biển,0
Nhóm bạn,giơ,nước ép dưa hấu trong buổi picnic,0
Cận cảnh,cho thấy,một chiếc bánh mì mới nướng vàng óng,0
Một cậu thanh niên,nhìn,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Cô gái,uống,rượu gin có thương hiệu trong khi leo núi,1
Bạn nữ,ăn,rum thương hiệu ABC khi điều khiển thuyền,1
Nhóm bạn,nâng,whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Một nhóm thanh niên,mở,bia nhẹ bên bãi biển,0
Một người,nói,viên thuốc này giúp kéo dài tuổi thọ 200 năm,1
Cô nhân viên,quảng cáo,rum thương hiệu ABC trên livestream quảng bá,1
Cô gái,thử,mũ len màu be,0
Nhóm sinh viên,cụng,nước ngọt trước rạp chiếu phim,0
Chàng trai,quảng cáo,bia nhẹ trước rạp chiếu phim,0
Một cậu thanh niên,ăn,rượu whisky có thương hiệu trong lúc lái ô tô,1
Cô gái,quảng cáo,cà phê trong phòng khách,0
Thanh niên,say,nước ép cam khi đi dã ngoại,0
Nhóm bạn trẻ,mở,bia lon ở quán cà phê,0
Cô gái,cụng,nước ngọt trong buổi tiệc gia đình,0
Thanh niên,cầm,nước chanh bên bãi biển,0
Một người đàn ông,nhấp,tequila có logo trước biển hiệu quảng cáo,1
Người đàn ông,ăn,tequila có logo trên livestream quảng bá,1
Chàng trai,nhấp,rượu whisky có thương hiệu trong khi leo núi,1
Nhóm bạn trẻ,uống,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Một cậu thanh niên,say,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Người đàn ông,nhìn,tequila có logo trong clip quảng cáo,1
Nhóm bạn trẻ,mở,nước ngọt ở quán cà phê,0
Nhóm bạn,quảng cáo,rượu mạnh trên livestream quảng bá,1
Một người đàn ông,uống,nước ép dưa hấu ở quán cà phê,0
Bạn nữ,giơ,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Cận cảnh,hiển thị,máy làm xúc xích,0
Cô nhân viên,cầm,bia không logo khi xem bóng đá,0
Người đàn ông,nhấp,trà sữa bên bãi biển,0
Cô gái,mặc,áo hai dây và tạo dáng trước camera,1
Thanh niên,uống,trà sữa ở quán cà phê,0
Cô nhân viên,giơ,nước chanh trong phòng khách,0
Chàng trai,cụng,nước khoáng trong buổi tiệc gia đình,0
Người phụ nữ,giơ,tequila có logo trên livestream quảng bá,1
Nhóm sinh viên,mở,nước táo khi đi dã ngoại,0
Anh nhân viên,giơ,nước táo bên bãi biển,0
Một con mèo,đứng,trên kệ,0
Nhóm sinh viên,ăn,bia nhẹ khi đi dã ngoại,0
Nam MC,nói,'đàn ông không uống là không vui',1
Cô gái,đưa,bia lon trong buổi picnic,0
Người đàn ông,say,nước táo ở quán cà phê,0
